colnorm,iters,k,lambda2,m_cand,method,mse_te,mse_te_const,mse_tr,nnz,r2_te,r2_tr,time_sec
l2,,10,0.01,5000,greedy_schur_refit,0.15498726421232284,0.3827151786142501,0.1510590558203581,10,0.4638777993168294,0.6221406806591383,8.327245712280273
l2,20,10,0.01,,iht_niht_debias,0.28945319880515374,0.3827151786142501,0.30288660732296946,10,-0.001258308073702974,0.24235904521590457,11.172131061553955
l2,,20,0.01,5000,greedy_schur_refit,0.15505563279471468,0.3827151786142501,0.1485722592219957,20,0.46364130301478945,0.6283611569152182,17.948150873184204
l2,20,20,0.01,,iht_niht_debias,0.2743381506209991,0.3827151786142501,0.279196044156395,20,0.05102671635785205,0.30161865083378303,10.712743759155273
l2,,50,0.01,5000,greedy_schur_refit,0.1556745224848962,0.3827151786142501,0.1348055827711356,50,0.46150047870663413,0.6627971393530669,57.29930877685547
l2,20,50,0.01,,iht_niht_debias,0.24991145119935404,0.3827151786142501,0.2492730213022135,50,0.13552201934880226,0.37646813924676625,11.137989044189453
