colnorm,iters,k,lambda1,lambda2,m_cand,method,mse_te,mse_te_const,mse_tr,nnz,r2_te,r2_tr,time_sec,tune_dist,tune_mse_val,tune_nnz
l2,,10,,0.01,5000,greedy_schur_refit,0.15498726421232284,0.3827151786142501,0.1510590558203581,10,0.4638777993168294,0.6221406806591383,8.227216958999634,,,
l2,20,10,,0.01,,iht_auto_debias,0.28945319880515374,0.3827151786142501,0.30288660732296946,10,-0.001258308073702974,0.24235904521590457,7.991902828216553,,,
l2,116,10,0.11288378916846883,0.01,,fista_l1_matchk,0.34591761116362574,0.3827151786142501,0.35653960693007114,13,-0.19657645352103148,0.10815136198872821,27.782899379730225,4,0.3636091291229687,14
l2,,20,,0.01,5000,greedy_schur_refit,0.15505563279471468,0.3827151786142501,0.1485722592219957,20,0.46364130301478945,0.6283611569152182,18.807682752609253,,,
l2,20,20,,0.01,,iht_auto_debias,0.2743381506209991,0.3827151786142501,0.279196044156395,20,0.05102671635785205,0.30161865083378303,9.266579389572144,,,
l2,116,20,0.11288378916846883,0.01,,fista_l1_matchk,0.34591761116362574,0.3827151786142501,0.35653960693007114,13,-0.19657645352103148,0.10815136198872821,27.837462425231934,6,0.3636091291229687,14
l2,,50,,0.01,5000,greedy_schur_refit,0.1556745224848962,0.3827151786142501,0.1348055827711356,50,0.46150047870663413,0.6627971393530669,58.95199537277222,,,
l2,20,50,,0.01,,iht_auto_debias,0.24991145119935404,0.3827151786142501,0.2492730213022135,50,0.13552201934880226,0.37646813924676625,8.765764951705933,,,
l2,300,50,0.05455594781168514,0.01,,fista_l1_matchk,0.2580971717591054,0.3827151786142501,0.2618750784436963,50,0.10720648940526234,0.34494533706906594,65.0678219795227,2,0.27294086828191466,48
