colnorm,iters,k,lambda2,m_cand,method,mse_te,mse_te_const,mse_tr,nnz,r2_te,r2_tr,time_sec
l2,,20,0.001,5000,greedy_schur_refit,0.139791465981782,0.3827151786142501,0.13330400430765177,20,0.5164421492322804,0.6665531896809841,17.642600297927856
l2,10,20,0.001,,iht_niht_debias,0.27432905781609995,0.3827151786142501,0.279173613543466,20,0.051058169616916116,0.3016747587982326,6.971351623535156
