colnorm,iters,k,lambda2,m_cand,method,mse_te,mse_te_const,mse_tr,nnz,r2_te,r2_tr,time_sec
l2,,20,10.0,5000,greedy_schur_refit,0.33723635007037017,0.3827151786142501,0.3485821222857259,20,-0.16654678091744657,0.1280562244615442,20.458033800125122
l2,10,20,10.0,,iht_niht_debias,0.34024771467297077,0.3827151786142501,0.3513101892860679,20,-0.17696350403344363,0.12123223410712702,7.9099440574646
